Desc	Family ID	Hleu	Lpic	Lvar	Mglob	Pliv	Spurp_prefixed
(null)	OG0000004	48	82	120	18	62	164
(null)	OG0000005	42	63	55	31	124	118
(null)	OG0000006	397	0	0	0	0	0
(null)	OG0000007	86	57	39	18	43	101
(null)	OG0000008	119	10	10	10	155	34
(null)	OG0000009	159	35	29	10	76	23
(null)	OG0000010	159	28	16	19	8	91
(null)	OG0000011	0	3	1	13	155	129
(null)	OG0000012	242	4	6	12	29	4
(null)	OG0000017	253	0	0	0	0	0
(null)	OG0000020	190	3	5	1	3	39
(null)	OG0000023	235	0	0	0	0	0
(null)	OG0000024	30	6	8	8	179	3
(null)	OG0000025	55	3	5	4	156	10
(null)	OG0000026	7	24	29	8	30	133
(null)	OG0000028	117	4	9	11	46	29
(null)	OG0000029	15	14	20	26	116	22
(null)	OG0000031	0	9	7	11	131	52
(null)	OG0000033	39	14	7	5	123	19
(null)	OG0000039	57	8	0	10	107	9
(null)	OG0000040	189	0	0	0	0	0
(null)	OG0000043	184	0	0	0	1	0
(null)	OG0000045	5	20	16	5	127	7
(null)	OG0000057	155	0	0	0	0	0
(null)	OG0000061	1	4	1	2	111	25
(null)	OG0000064	10	2	3	5	112	5
(null)	OG0000069	103	3	2	1	23	0
(null)	OG0000077	121	0	0	0	0	0
(null)	OG0000079	119	0	0	0	0	0
(null)	OG0000082	115	0	0	0	0	0
(null)	OG0000092	109	0	0	0	0	0
(null)	OG0000098	105	0	0	0	0	0
(null)	OG0000102	103	0	0	0	0	0